LDA Model with 400 Topics and 20 Passes
==================================================
Topic 48: 0.030*"Herru" + 0.014*"Nec" + 0.011*"Kanzler" + 0.011*"vergebens" + 0.011*"gefallen" + 0.011*"wohlgelahren" + 0.011*"Unschuld" + 0.011*"Gabe" + 0.011*"Gran" + 0.011*"lachen" + 0.011*"betagen" + 0.011*"vermeiden" + 0.011*"Phoebus" + 0.011*"Flehen" + 0.011*"Churfürstl" + 0.011*"Jonas" + 0.000*"wohnen" + 0.000*"sterben" + 0.000*"leben" + 0.000*"versehen"
Topic 49: 0.036*"Komet" + 0.014*"überdecken" + 0.012*"schön" + 0.011*"lieb" + 0.008*"Abschied" + 0.008*"einschlafen" + 0.008*"Hochbetrübt" + 0.008*"verbinden" + 0.008*"Trost" + 0.008*"klagen" + 0.008*"Sinn" + 0.007*"Keuschheit" + 0.007*"Allzusamm" + 0.007*"Füssen" + 0.005*"Hinterlassene" + 0.004*"unverzagt" + 0.004*"bestalt" + 0.004*"Regina" + 0.004*"Bande" + 0.004*"hienied"
Topic 50: 0.000*"sagen" + 0.000*"solch" + 0.000*"Wort" + 0.000*"Sünde" + 0.000*"lieb" + 0.000*"Seele" + 0.000*"Mensch" + 0.000*"and" + 0.000*"Vater" + 0.000*"Kind" + 0.000*"Christus" + 0.000*"leben" + 0.000*"halten" + 0.000*"sprechen" + 0.000*"Sohn" + 0.000*"ewig" + 0.000*"Frau" + 0.000*"Christi" + 0.000*"heilig" + 0.000*"sterben"
Topic 51: 0.000*"sagen" + 0.000*"Kind" + 0.000*"heilig" + 0.000*"lieb" + 0.000*"Vater" + 0.000*"Wort" + 0.000*"sterben" + 0.000*"Frau" + 0.000*"and" + 0.000*"Christus" + 0.000*"solch" + 0.000*"Mensch" + 0.000*"Seele" + 0.000*"halten" + 0.000*"Mutter" + 0.000*"Sohn" + 0.000*"Freude" + 0.000*"Leib" + 0.000*"sprechen" + 0.000*"Himmel"
Topic 52: 0.000*"sagen" + 0.000*"Wort" + 0.000*"solch" + 0.000*"lieb" + 0.000*"ewig" + 0.000*"Mensch" + 0.000*"Christus" + 0.000*"Seele" + 0.000*"sterben" + 0.000*"Kind" + 0.000*"heilig" + 0.000*"Vater" + 0.000*"and" + 0.000*"halten" + 0.000*"Wille" + 0.000*"leben" + 0.000*"Jesu" + 0.000*"Geist" + 0.000*"Christo" + 0.000*"Frau"
Topic 53: 0.595*"Prediger" + 0.240*"Zuhörer" + 0.023*"Kirchekind" + 0.016*"Ambrosio" + 0.015*"wohltätig" + 0.014*"Schwager" + 0.008*"schwäh" + 0.007*"quoad" + 0.002*"Herzfreund" + 0.000*"solch" + 0.000*"lieb" + 0.000*"Vater" + 0.000*"and" + 0.000*"fleißig" + 0.000*"Wort" + 0.000*"Kind" + 0.000*"sagen" + 0.000*"fromm" + 0.000*"Lehre" + 0.000*"Mensch"
Topic 54: 0.058*"ober" + 0.021*"Krieg" + 0.018*"Fliege" + 0.017*"Mut" + 0.017*"Gunst" + 0.016*"mannhaft" + 0.015*"Kapitän" + 0.015*"Stephan" + 0.014*"Schweden" + 0.013*"Degen" + 0.012*"Pilaw" + 0.010*"Wohledel" + 0.010*"Schlacht" + 0.010*"Erfahrenheit" + 0.010*"bleiben" + 0.009*"tragen" + 0.009*"Dragoner" + 0.008*"ziehen" + 0.008*"Rittmeister" + 0.008*"Kugel"
Topic 55: 0.000*"solch" + 0.000*"lieb" + 0.000*"Kind" + 0.000*"and" + 0.000*"sagen" + 0.000*"heilig" + 0.000*"Seele" + 0.000*"Vater" + 0.000*"leben" + 0.000*"Wort" + 0.000*"Sohn" + 0.000*"sterben" + 0.000*"Frau" + 0.000*"Mensch" + 0.000*"halten" + 0.000*"ewig" + 0.000*"sprechen" + 0.000*"Geist" + 0.000*"Mutter" + 0.000*"Christi"
Topic 56: 0.000*"solch" + 0.000*"lieb" + 0.000*"Wort" + 0.000*"Vater" + 0.000*"sterben" + 0.000*"sagen" + 0.000*"heilig" + 0.000*"Mensch" + 0.000*"ewig" + 0.000*"Kind" + 0.000*"Wille" + 0.000*"Sünde" + 0.000*"Seele" + 0.000*"Glaube" + 0.000*"sprechen" + 0.000*"halten" + 0.000*"Sohn" + 0.000*"Christi" + 0.000*"Christus" + 0.000*"Leib"
Topic 57: 0.000*"Mensch" + 0.000*"lieb" + 0.000*"sagen" + 0.000*"Wort" + 0.000*"solch" + 0.000*"heilig" + 0.000*"ewig" + 0.000*"Vater" + 0.000*"schön" + 0.000*"halten" + 0.000*"and" + 0.000*"Seele" + 0.000*"Bräutigam" + 0.000*"Kind" + 0.000*"Sohn" + 0.000*"sterben" + 0.000*"Christi" + 0.000*"Hand" + 0.000*"Braut" + 0.000*"himmlisch"
